policy_id,claim_type,amount,severity,channel,language,description
P-1001,auto,1200,low,email,en,"Minor bumper damage; photo attached"
P-1002,home,8500,high,web,en,"Kitchen leak; shut off water"
P-1003,travel,600,medium,email,en,"Flight canceled; hotel rebooked"
P-1004,health,300,low,chat,en,"Prescription reimbursement"
P-1005,auto,4200,medium,email,pl,"Stłuczka na parkingu; brak obrażeń"
P-1006,home,15000,high,phone,en,"Basement flooding after storm"
P-1007,auto,900,low,chat,en,"Cracked windshield"
P-1008,travel,2500,medium,email,en,"Lost luggage; file reference ABC123"
P-1009,home,2200,medium,web,pl,"Zalana łazienka; zdjęcia w załączniku"
P-1010,auto,7800,high,email,en,"Airbags deployed; tow requested"
P-1011,health,450,low,web,en,"Out-of-network claim"
P-1012,travel,1300,medium,chat,en,"Missed connection; reissue ticket"
P-1013,auto,1500,medium,email,en,"Rear-ended at light; police report filed"
P-1014,home,4000,medium,chat,en,"Hail damage to roof"
P-1015,travel,900,low,email,pl,"Opóźniony lot; koszty hotelu"
P-1016,auto,1100,low,web,en,"Scratched door; request estimate"
P-1017,home,7000,high,email,en,"Fire alarm triggered; smoke damage"
P-1018,health,1200,medium,email,en,"Specialist visit reimbursement"
P-1019,travel,1800,medium,chat,en,"Passport lost; embassy appointment"
P-1020,auto,3100,medium,web,en,"Hydroplaned; front bumper replacement"
