ticket_id,issue_type,sentiment,SLA_hours,customer_tier,channel,language,summary
T-3001,password_reset,neutral,4,standard,chat,en,"Cannot login after password change"
T-3002,billing_dispute,negative,24,prime,email,en,"Double charge on invoice"
T-3003,delivery_delay,negative,12,standard,web,en,"Package late; tracking stalled"
T-3004,feature_request,positive,72,prime,email,en,"Request dark mode"
T-3005,outage_report,negative,4,enterprise,phone,en,"Service down in region"
T-3006,ui_bug,neutral,24,standard,chat,en,"Button unresponsive on mobile"
T-3007,policy_question,neutral,24,prime,email,pl,"Pytanie o limit transakcji"
T-3008,refund_request,negative,24,standard,email,en,"Refund for canceled order"
T-3009,account_update,neutral,48,standard,web,en,"Change contact email"
T-3010,priority_support,positive,8,enterprise,email,en,"Plan expansion inquiry"
T-3011,escalation,negative,12,enterprise,phone,en,"Missed SLA; need manager"
T-3012,knowledge_request,positive,48,standard,chat,en,"How to export data"
T-3013,policy_question,neutral,24,prime,email,en,"Card travel notice rules"
T-3014,refund_request,negative,24,standard,web,en,"Return initiated; label issue"
T-3015,delivery_delay,negative,12,standard,chat,en,"Courier missed pickup"
T-3016,ui_bug,neutral,24,standard,email,en,"Layout broken in Firefox"
T-3017,outage_report,negative,4,enterprise,phone,en,"Intermittent downtime"
T-3018,priority_support,positive,8,enterprise,email,en,"Need sandbox increase"
T-3019,account_update,neutral,48,standard,chat,pl,"Aktualizacja adresu faktury"
T-3020,feature_request,positive,72,prime,web,en,"Webhook for status changes"
